Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Date,Merchant_Category,Location,Device_Type,Account_Balance,Transaction_Status,Fraud_Label
TXN510637,CUST102212,1664.91,Debit,2024-07-01 01:05:00,Utilities,Chandigarh,Mobile App,40046.37,Success,0
TXN555329,CUST102081,9587.65,Transfer,2024-07-01 02:43:00,Electronics,Bengaluru,Phone Banking,66738.6,Success,0
TXN525833,CUST102008,22294.41,Debit,2024-07-01 04:12:00,Money Transfer,Delhi,Mobile App,18688.76,Success,0
TXN568045,CUST102754,6409.1,Deposit,2024-07-01 04:47:00,Electronics,Kochi,Web Browser,121011.83,Success,0
TXN602797,CUST101461,318.52,Deposit,2024-07-01 04:54:00,Restaurant,Pune,Mobile App,17151.8,Success,0
TXN568003,CUST101370,642.43,Debit,2024-07-01 05:25:00,ATM Withdrawal,Delhi,Mobile App,21044.61,Success,0
TXN571389,CUST101746,1194.95,Transfer,2024-07-01 06:20:00,Jewelry,Lucknow,Mobile App,15261.12,Success,0
TXN504675,CUST101666,2054.38,Withdrawal,2024-07-01 06:28:00,Travel,Chandigarh,Mobile App,204442.66,Success,0
TXN541285,CUST100844,1053.97,Credit,2024-07-01 06:58:00,Entertainment,Delhi,Mobile App,60946.5,Failed,0
TXN553945,CUST100214,733.72,Online Payment,2024-07-01 07:09:00,Healthcare,Lucknow,POS Terminal,36373.58,Success,0
TXN537300,CUST100986,270.92,Transfer,2024-07-01 07:11:00,Utilities,Hyderabad,POS Terminal,53082.2,Success,0
TXN558642,CUST101214,1121.14,Transfer,2024-07-01 07:12:00,Online Shopping,Chennai,Web Browser,213912.61,Success,0
TXN512573,CUST102007,638.35,Debit,2024-07-01 07:22:00,Fuel,Delhi,Mobile App,48858.19,Success,0
TXN552480,CUST100123,2793.98,Debit,2024-07-01 07:42:00,Entertainment,Kolkata,Mobile App,26482.47,Success,0
TXN531856,CUST101040,1301.92,Transfer,2024-07-01 07:51:00,ATM Withdrawal,Delhi,Mobile App,163432.75,Success,0
TXN505289,CUST100283,1125.35,Transfer,2024-07-01 07:54:00,ATM Withdrawal,Chennai,Web Browser,12604.43,Success,0
TXN573570,CUST102145,1986.82,Transfer,2024-07-01 08:00:00,Money Transfer,Kochi,POS Terminal,79641.59,Success,0
TXN591775,CUST101663,1737.29,Transfer,2024-07-01 08:02:00,Online Shopping,Bengaluru,Phone Banking,22987.59,Failed,0
TXN517903,CUST100527,3730.68,Debit,2024-07-01 08:19:00,Travel,New York,Web Browser,41949.91,Success,0
TXN530870,CUST101029,4561.48,Deposit,2024-07-01 08:20:00,Entertainment,Kolkata,ATM,61116.71,Success,0
TXN530239,CUST102011,3435.52,Withdrawal,2024-07-01 08:22:00,Travel,Chennai,Mobile App,30968.8,Success,0
TXN616610,CUST101282,5107.78,Transfer,2024-07-01 08:25:00,Travel,Kolkata,Phone Banking,113181.33,Success,0
TXN598318,CUST102993,1203.73,Online Payment,2024-07-01 08:40:00,ATM Withdrawal,Pune,Mobile App,37420.15,Success,0
TXN569963,CUST102350,7226.03,Transfer,2024-07-01 08:44:00,Jewelry,Mumbai,Web Browser,76254.87,Success,0
TXN553154,CUST100362,1235.22,Online Payment,2024-07-01 08:53:00,Grocery,Delhi,POS Terminal,63615.77,Success,0
TXN577982,CUST101181,864.9,Transfer,2024-07-01 08:57:00,Online Shopping,Delhi,Phone Banking,18763.29,Success,0
TXN504656,CUST102812,248.72,Online Payment,2024-07-01 09:01:00,Grocery,Jaipur,ATM,73340.23,Success,0
TXN613553,CUST101780,222.45,Debit,2024-07-01 09:03:00,Fuel,Bengaluru,Web Browser,20650.3,Success,0
TXN564216,CUST101849,6502.6,Debit,2024-07-01 09:04:00,Fuel,Kolkata,POS Terminal,16934.43,Success,0
TXN520625,CUST100910,2412.57,Credit,2024-07-01 09:09:00,Jewelry,Lucknow,Mobile App,204818.23,Success,0
TXN615998,CUST102123,9933.41,Debit,2024-07-01 09:12:00,Electronics,Bengaluru,Mobile App,26838.54,Success,0
TXN547664,CUST101965,10815.69,Credit,2024-07-01 09:19:00,Jewelry,Mumbai,Mobile App,48161.95,Success,0
TXN564936,CUST102292,1115.28,Credit,2024-07-01 09:20:00,Grocery,Ahmedabad,Web Browser,60093.78,Success,0
TXN510406,CUST102004,6552.43,Withdrawal,2024-07-01 09:23:00,Utilities,Delhi,Mobile App,0.0,Success,0
TXN574932,CUST102885,1439.5,Credit,2024-07-01 09:30:00,Fuel,Bengaluru,Web Browser,58542.45,Success,0
TXN543757,CUST100676,5936.4,Debit,2024-07-01 09:32:00,Jewelry,London,Web Browser,29532.17,Success,0
TXN531580,CUST102494,671.65,Transfer,2024-07-01 09:35:00,Grocery,Kochi,Web Browser,38900.08,Success,0
TXN563518,CUST101039,4295.18,Deposit,2024-07-01 09:42:00,Jewelry,Delhi,Mobile App,44511.59,Success,0
TXN576893,CUST102669,2385.16,Deposit,2024-07-01 09:49:00,Fuel,Kolkata,Mobile App,71514.64,Success,0
TXN571979,CUST102939,941.11,Deposit,2024-07-01 09:51:00,Electronics,Mumbai,Mobile App,36958.85,Success,0
TXN618881,CUST100217,718.88,Withdrawal,2024-07-01 09:53:00,Online Shopping,Delhi,Web Browser,49726.61,Success,0
TXN551329,CUST102709,1237.77,Debit,2024-07-01 09:55:00,Restaurant,Jaipur,POS Terminal,78580.76,Failed,0
TXN510187,CUST102332,5898.6,Debit,2024-07-01 10:01:00,ATM Withdrawal,Chandigarh,POS Terminal,45800.52,Failed,0
TXN608246,CUST102320,239.13,Online Payment,2024-07-01 10:01:00,Fuel,Mumbai,Web Browser,137898.79,Success,0
TXN555053,CUST101651,16358.28,Transfer,2024-07-01 10:02:00,Jewelry,Chennai,POS Terminal,20174.73,Success,0
TXN545315,CUST101802,22141.62,Transfer,2024-07-01 10:05:00,Jewelry,Delhi,Mobile App,39816.52,Success,0
TXN537903,CUST100306,7897.86,Online Payment,2024-07-01 10:06:00,Grocery,Hyderabad,Mobile App,11965.59,Success,0
TXN611051,CUST100368,6745.36,Withdrawal,2024-07-01 10:08:00,Utilities,Hyderabad,Mobile App,232123.54,Failed,0
TXN545067,CUST101265,897.21,Credit,2024-07-01 10:12:00,ATM Withdrawal,Chandigarh,Mobile App,13185.31,Success,0
TXN615075,CUST102736,2018.59,Debit,2024-07-01 10:23:00,Fuel,Bengaluru,Mobile App,62504.88,Success,0
TXN507782,CUST100880,469.95,Deposit,2024-07-01 10:28:00,Grocery,Kolkata,POS Terminal,30096.72,Success,0
TXN598438,CUST101541,958.75,Debit,2024-07-01 10:29:00,Online Shopping,Chennai,Mobile App,16087.3,Success,0
TXN556127,CUST100068,473.44,Debit,2024-07-01 10:39:00,Grocery,Mumbai,POS Terminal,64164.81,Failed,0
TXN537906,CUST101285,8063.15,Withdrawal,2024-07-01 10:41:00,Money Transfer,Kochi,ATM,167704.64,Success,0
TXN606625,CUST101320,2924.6,Withdrawal,2024-07-01 10:52:00,Restaurant,Pune,ATM,122.56,Success,0
TXN565793,CUST100298,1028.07,Withdrawal,2024-07-01 10:53:00,Restaurant,Lucknow,ATM,141983.78,Success,0
TXN607069,CUST100106,3583.03,Credit,2024-07-01 10:55:00,Jewelry,Kolkata,Phone Banking,31545.77,Success,0
TXN601136,CUST100565,2158.44,Debit,2024-07-01 10:56:00,Electronics,Jaipur,POS Terminal,25654.25,Success,0
TXN565221,CUST101106,9660.55,Transfer,2024-07-01 11:00:00,Jewelry,Delhi,Mobile App,28130.55,Success,0
TXN618436,CUST101163,2060.3,Credit,2024-07-01 11:01:00,ATM Withdrawal,Bengaluru,Web Browser,63911.08,Success,0
TXN593150,CUST100690,2529.92,Debit,2024-07-01 11:03:00,Jewelry,Chennai,Web Browser,94243.63,Success,0
TXN600566,CUST102275,5893.33,Transfer,2024-07-01 11:06:00,Travel,Mumbai,Mobile App,14201.63,Success,0
TXN557452,CUST100729,1854.98,Credit,2024-07-01 11:07:00,Travel,Pune,Web Browser,34262.92,Success,0
TXN532115,CUST101733,2708.09,Debit,2024-07-01 11:13:00,Online Shopping,Chennai,Web Browser,112333.23,Success,0
TXN587298,CUST100610,829.93,Transfer,2024-07-01 11:17:00,Grocery,Lucknow,POS Terminal,59796.16,Success,0
TXN555515,CUST100237,1391.84,Withdrawal,2024-07-01 11:17:00,Fuel,Lucknow,Mobile App,94814.1,Success,0
TXN543190,CUST102871,507.88,Deposit,2024-07-01 11:19:00,ATM Withdrawal,Kolkata,Mobile App,36803.05,Success,0
TXN539273,CUST101847,1817.18,Online Payment,2024-07-01 11:20:00,Online Shopping,Chennai,POS Terminal,25159.41,Success,0
TXN608796,CUST100568,2467.09,Deposit,2024-07-01 11:27:00,Healthcare,Hyderabad,Mobile App,126558.93,Success,0
TXN604952,CUST102161,442.46,Credit,2024-07-01 11:27:00,Restaurant,Chennai,Web Browser,65415.77,Success,0
TXN598685,CUST100082,1979.36,Debit,2024-07-01 11:36:00,Online Shopping,Chandigarh,Mobile App,16919.65,Success,0
TXN534732,CUST102431,526.74,Withdrawal,2024-07-01 11:38:00,Grocery,Lucknow,POS Terminal,50274.93,Success,0
TXN570963,CUST101464,1970.63,Online Payment,2024-07-01 11:38:00,Jewelry,Jaipur,POS Terminal,20260.51,Success,0
TXN526592,CUST100213,23626.27,Online Payment,2024-07-01 11:39:00,Travel,Chandigarh,Mobile App,80294.28,Success,0
TXN521772,CUST100102,110.67,Withdrawal,2024-07-01 11:40:00,Grocery,Chennai,ATM,56151.09,Success,0
TXN617194,CUST100656,5179.35,Credit,2024-07-01 11:45:00,Travel,Chandigarh,ATM,29256.82,Success,0
TXN592724,CUST102247,180.16,Transfer,2024-07-01 11:46:00,Fuel,Ahmedabad,Mobile App,15785.01,Pending,0
TXN597745,CUST100998,5855.85,Debit,2024-07-01 11:46:00,ATM Withdrawal,New York,Phone Banking,70515.09,Success,0
